label_real_id,label_pred_id,label_real,label_pred
2,2,Business,Business
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
2,0,Business,World
0,0,World,World
0,0,World,World
2,2,Business,Business
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
2,2,Business,Business
0,0,World,World
0,1,World,Sports
3,0,Sci_Tech,World
0,0,World,World
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
2,2,Business,Business
2,2,Business,Business
0,0,World,World
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
2,2,Business,Business
0,0,World,World
3,2,Sci_Tech,Business
1,1,Sports,Sports
2,2,Business,Business
2,2,Business,Business
2,2,Business,Business
0,0,World,World
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
0,0,World,World
0,0,World,World
0,2,World,Business
3,3,Sci_Tech,Sci_Tech
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
2,2,Business,Business
0,0,World,World
2,2,Business,Business
1,1,Sports,Sports
2,2,Business,Business
0,0,World,World
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
1,1,Sports,Sports
0,0,World,World
2,3,Business,Sci_Tech
2,2,Business,Business
1,1,Sports,Sports
0,2,World,Business
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
0,0,World,World
0,0,World,World
2,2,Business,Business
1,1,Sports,Sports
1,1,Sports,Sports
1,1,Sports,Sports
1,0,Sports,World
2,2,Business,Business
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
0,2,World,Business
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
0,0,World,World
1,1,Sports,Sports
0,0,World,World
1,1,Sports,Sports
2,2,Business,Business
0,0,World,World
1,1,Sports,Sports
1,1,Sports,Sports
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
2,2,Business,Business
2,2,Business,Business
1,1,Sports,Sports
2,2,Business,Business
1,1,Sports,Sports
1,1,Sports,Sports
0,0,World,World
1,1,Sports,Sports
0,0,World,World
1,2,Sports,Business
2,2,Business,Business
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
3,3,Sci_Tech,Sci_Tech
0,2,World,Business
1,1,Sports,Sports
2,3,Business,Sci_Tech
1,1,Sports,Sports
0,0,World,World
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
3,2,Sci_Tech,Business
3,0,Sci_Tech,World
0,0,World,World
3,3,Sci_Tech,Sci_Tech
3,3,Sci_Tech,Sci_Tech
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
1,1,Sports,Sports
1,1,Sports,Sports
1,1,Sports,Sports
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
0,0,World,World
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
3,2,Sci_Tech,Business
3,2,Sci_Tech,Business
1,1,Sports,Sports
3,2,Sci_Tech,Business
0,0,World,World
1,1,Sports,Sports
0,0,World,World
1,1,Sports,Sports
0,0,World,World
1,1,Sports,Sports
0,0,World,World
0,0,World,World
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
0,0,World,World
2,2,Business,Business
2,2,Business,Business
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
0,0,World,World
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
0,0,World,World
2,2,Business,Business
2,2,Business,Business
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
3,3,Sci_Tech,Sci_Tech
0,0,World,World
2,3,Business,Sci_Tech
1,2,Sports,Business
1,1,Sports,Sports
0,2,World,Business
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
1,1,Sports,Sports
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
0,0,World,World
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
0,0,World,World
1,1,Sports,Sports
1,1,Sports,Sports
0,0,World,World
0,0,World,World
2,2,Business,Business
2,2,Business,Business
1,1,Sports,Sports
2,2,Business,Business
1,3,Sports,Sci_Tech
1,1,Sports,Sports
0,0,World,World
3,3,Sci_Tech,Sci_Tech
2,3,Business,Sci_Tech
1,1,Sports,Sports
1,1,Sports,Sports
1,1,Sports,Sports
0,0,World,World
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
3,3,Sci_Tech,Sci_Tech
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
0,0,World,World
0,0,World,World
1,1,Sports,Sports
1,1,Sports,Sports
1,1,Sports,Sports
0,2,World,Business
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
1,1,Sports,Sports
2,0,Business,World
0,0,World,World
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
3,3,Sci_Tech,Sci_Tech
1,3,Sports,Sci_Tech
1,1,Sports,Sports
0,0,World,World
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
0,0,World,World
3,3,Sci_Tech,Sci_Tech
3,3,Sci_Tech,Sci_Tech
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
2,2,Business,Business
2,2,Business,Business
0,0,World,World
2,0,Business,World
2,2,Business,Business
2,2,Business,Business
1,1,Sports,Sports
0,0,World,World
1,1,Sports,Sports
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
1,0,Sports,World
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
0,0,World,World
2,2,Business,Business
2,2,Business,Business
0,0,World,World
3,3,Sci_Tech,Sci_Tech
0,0,World,World
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
0,0,World,World
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
3,0,Sci_Tech,World
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
3,3,Sci_Tech,Sci_Tech
0,0,World,World
0,0,World,World
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
0,0,World,World
3,2,Sci_Tech,Business
2,2,Business,Business
2,2,Business,Business
0,0,World,World
3,2,Sci_Tech,Business
3,2,Sci_Tech,Business
0,0,World,World
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
0,0,World,World
0,0,World,World
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
1,1,Sports,Sports
1,1,Sports,Sports
2,2,Business,Business
2,2,Business,Business
2,2,Business,Business
1,1,Sports,Sports
1,1,Sports,Sports
0,0,World,World
3,2,Sci_Tech,Business
0,0,World,World
0,0,World,World
3,3,Sci_Tech,Sci_Tech
3,3,Sci_Tech,Sci_Tech
2,3,Business,Sci_Tech
3,3,Sci_Tech,Sci_Tech
0,0,World,World
2,2,Business,Business
2,3,Business,Sci_Tech
0,0,World,World
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
0,0,World,World
3,2,Sci_Tech,Business
1,1,Sports,Sports
1,1,Sports,Sports
1,0,Sports,World
0,0,World,World
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
2,0,Business,World
1,1,Sports,Sports
1,1,Sports,Sports
0,0,World,World
2,2,Business,Business
2,2,Business,Business
2,2,Business,Business
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
0,0,World,World
1,1,Sports,Sports
0,0,World,World
2,2,Business,Business
1,1,Sports,Sports
1,1,Sports,Sports
1,1,Sports,Sports
0,0,World,World
1,1,Sports,Sports
3,0,Sci_Tech,World
0,0,World,World
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
1,1,Sports,Sports
0,0,World,World
0,0,World,World
3,3,Sci_Tech,Sci_Tech
3,3,Sci_Tech,Sci_Tech
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
1,1,Sports,Sports
0,0,World,World
1,1,Sports,Sports
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
3,3,Sci_Tech,Sci_Tech
3,3,Sci_Tech,Sci_Tech
0,0,World,World
0,0,World,World
0,0,World,World
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
0,0,World,World
1,1,Sports,Sports
3,2,Sci_Tech,Business
2,2,Business,Business
3,2,Sci_Tech,Business
0,0,World,World
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
3,2,Sci_Tech,Business
3,2,Sci_Tech,Business
3,2,Sci_Tech,Business
2,2,Business,Business
1,1,Sports,Sports
0,0,World,World
3,3,Sci_Tech,Sci_Tech
3,3,Sci_Tech,Sci_Tech
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
0,0,World,World
2,2,Business,Business
1,1,Sports,Sports
0,0,World,World
2,2,Business,Business
0,0,World,World
0,0,World,World
2,2,Business,Business
1,1,Sports,Sports
1,1,Sports,Sports
3,0,Sci_Tech,World
0,0,World,World
2,2,Business,Business
1,1,Sports,Sports
0,0,World,World
2,2,Business,Business
2,2,Business,Business
1,1,Sports,Sports
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
0,0,World,World
3,3,Sci_Tech,Sci_Tech
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
1,1,Sports,Sports
1,1,Sports,Sports
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
0,0,World,World
3,3,Sci_Tech,Sci_Tech
0,0,World,World
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
3,3,Sci_Tech,Sci_Tech
3,3,Sci_Tech,Sci_Tech
0,0,World,World
1,1,Sports,Sports
1,1,Sports,Sports
2,2,Business,Business
1,1,Sports,Sports
1,1,Sports,Sports
3,2,Sci_Tech,Business
0,0,World,World
2,2,Business,Business
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
3,3,Sci_Tech,Sci_Tech
0,0,World,World
3,3,Sci_Tech,Sci_Tech
0,0,World,World
2,2,Business,Business
2,2,Business,Business
1,1,Sports,Sports
1,1,Sports,Sports
0,0,World,World
3,2,Sci_Tech,Business
3,3,Sci_Tech,Sci_Tech
0,0,World,World
2,2,Business,Business
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
0,0,World,World
0,0,World,World
3,2,Sci_Tech,Business
2,2,Business,Business
2,2,Business,Business
2,2,Business,Business
0,0,World,World
0,0,World,World
0,0,World,World
0,0,World,World
3,2,Sci_Tech,Business
0,0,World,World
1,1,Sports,Sports
2,2,Business,Business
2,2,Business,Business
1,1,Sports,Sports
1,1,Sports,Sports
2,2,Business,Business
0,0,World,World
1,1,Sports,Sports
0,0,World,World
3,3,Sci_Tech,Sci_Tech
0,0,World,World
3,3,Sci_Tech,Sci_Tech
0,0,World,World
1,1,Sports,Sports
0,0,World,World
0,0,World,World
3,3,Sci_Tech,Sci_Tech
0,0,World,World
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
0,0,World,World
2,2,Business,Business
2,2,Business,Business
0,0,World,World
2,2,Business,Business
0,0,World,World
1,1,Sports,Sports
2,2,Business,Business
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
1,2,Sports,Business
2,2,Business,Business
0,0,World,World
0,0,World,World
3,3,Sci_Tech,Sci_Tech
0,0,World,World
3,3,Sci_Tech,Sci_Tech
0,0,World,World
1,1,Sports,Sports
1,1,Sports,Sports
1,1,Sports,Sports
0,0,World,World
0,0,World,World
1,1,Sports,Sports
0,0,World,World
3,2,Sci_Tech,Business
0,0,World,World
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
0,0,World,World
3,3,Sci_Tech,Sci_Tech
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
0,0,World,World
0,0,World,World
3,2,Sci_Tech,Business
1,1,Sports,Sports
1,1,Sports,Sports
0,0,World,World
2,0,Business,World
1,1,Sports,Sports
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
0,0,World,World
1,1,Sports,Sports
2,2,Business,Business
2,2,Business,Business
2,2,Business,Business
0,0,World,World
2,3,Business,Sci_Tech
0,0,World,World
1,1,Sports,Sports
0,2,World,Business
2,2,Business,Business
1,1,Sports,Sports
0,0,World,World
1,1,Sports,Sports
2,3,Business,Sci_Tech
2,2,Business,Business
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
0,0,World,World
3,3,Sci_Tech,Sci_Tech
0,0,World,World
0,2,World,Business
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
0,0,World,World
2,2,Business,Business
0,2,World,Business
1,1,Sports,Sports
1,1,Sports,Sports
2,2,Business,Business
2,1,Business,Sports
3,2,Sci_Tech,Business
0,0,World,World
0,1,World,Sports
3,3,Sci_Tech,Sci_Tech
0,0,World,World
3,3,Sci_Tech,Sci_Tech
2,1,Business,Sports
0,0,World,World
1,2,Sports,Business
2,2,Business,Business
0,0,World,World
0,0,World,World
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
0,2,World,Business
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
2,2,Business,Business
1,1,Sports,Sports
2,3,Business,Sci_Tech
1,1,Sports,Sports
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
0,1,World,Sports
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
0,0,World,World
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
2,0,Business,World
0,0,World,World
2,0,Business,World
2,2,Business,Business
1,1,Sports,Sports
2,2,Business,Business
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
1,1,Sports,Sports
0,0,World,World
0,0,World,World
0,2,World,Business
0,0,World,World
1,1,Sports,Sports
0,0,World,World
1,1,Sports,Sports
2,2,Business,Business
0,1,World,Sports
3,0,Sci_Tech,World
0,0,World,World
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
0,0,World,World
3,2,Sci_Tech,Business
0,0,World,World
0,0,World,World
0,0,World,World
1,1,Sports,Sports
1,1,Sports,Sports
0,0,World,World
1,1,Sports,Sports
0,0,World,World
2,2,Business,Business
0,0,World,World
1,1,Sports,Sports
0,0,World,World
1,1,Sports,Sports
0,0,World,World
0,2,World,Business
0,0,World,World
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
0,0,World,World
1,1,Sports,Sports
0,0,World,World
0,2,World,Business
2,2,Business,Business
3,2,Sci_Tech,Business
1,1,Sports,Sports
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
3,0,Sci_Tech,World
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
1,1,Sports,Sports
1,1,Sports,Sports
1,1,Sports,Sports
0,3,World,Sci_Tech
1,1,Sports,Sports
1,1,Sports,Sports
1,1,Sports,Sports
0,0,World,World
0,0,World,World
1,1,Sports,Sports
0,0,World,World
0,0,World,World
0,0,World,World
0,0,World,World
3,2,Sci_Tech,Business
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
0,1,World,Sports
3,3,Sci_Tech,Sci_Tech
3,3,Sci_Tech,Sci_Tech
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
1,1,Sports,Sports
0,2,World,Business
1,1,Sports,Sports
3,0,Sci_Tech,World
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
0,0,World,World
3,3,Sci_Tech,Sci_Tech
0,0,World,World
1,1,Sports,Sports
2,2,Business,Business
0,0,World,World
2,2,Business,Business
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
3,2,Sci_Tech,Business
0,0,World,World
0,0,World,World
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
0,0,World,World
1,1,Sports,Sports
2,2,Business,Business
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
0,0,World,World
1,1,Sports,Sports
1,1,Sports,Sports
0,0,World,World
3,3,Sci_Tech,Sci_Tech
0,0,World,World
3,3,Sci_Tech,Sci_Tech
0,0,World,World
3,3,Sci_Tech,Sci_Tech
0,2,World,Business
3,3,Sci_Tech,Sci_Tech
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
0,2,World,Business
0,0,World,World
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
2,3,Business,Sci_Tech
1,1,Sports,Sports
2,3,Business,Sci_Tech
1,1,Sports,Sports
2,2,Business,Business
0,0,World,World
0,0,World,World
2,2,Business,Business
2,2,Business,Business
2,2,Business,Business
0,3,World,Sci_Tech
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
0,0,World,World
1,1,Sports,Sports
1,1,Sports,Sports
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
0,0,World,World
2,2,Business,Business
0,1,World,Sports
2,2,Business,Business
1,2,Sports,Business
1,1,Sports,Sports
2,2,Business,Business
2,3,Business,Sci_Tech
2,0,Business,World
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
3,2,Sci_Tech,Business
2,2,Business,Business
0,2,World,Business
3,3,Sci_Tech,Sci_Tech
0,0,World,World
2,2,Business,Business
0,0,World,World
1,1,Sports,Sports
1,1,Sports,Sports
0,0,World,World
1,1,Sports,Sports
2,2,Business,Business
0,0,World,World
3,3,Sci_Tech,Sci_Tech
0,0,World,World
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
2,2,Business,Business
0,0,World,World
3,3,Sci_Tech,Sci_Tech
2,3,Business,Sci_Tech
3,2,Sci_Tech,Business
0,0,World,World
0,0,World,World
0,0,World,World
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
1,1,Sports,Sports
1,1,Sports,Sports
1,1,Sports,Sports
0,0,World,World
0,1,World,Sports
1,1,Sports,Sports
2,2,Business,Business
2,2,Business,Business
3,2,Sci_Tech,Business
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
1,1,Sports,Sports
0,0,World,World
1,1,Sports,Sports
2,2,Business,Business
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
2,2,Business,Business
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
1,1,Sports,Sports
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
0,0,World,World
0,0,World,World
1,1,Sports,Sports
0,2,World,Business
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
0,0,World,World
0,0,World,World
3,0,Sci_Tech,World
0,1,World,Sports
3,3,Sci_Tech,Sci_Tech
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
0,0,World,World
3,3,Sci_Tech,Sci_Tech
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
0,0,World,World
3,3,Sci_Tech,Sci_Tech
1,0,Sports,World
2,2,Business,Business
0,0,World,World
3,2,Sci_Tech,Business
3,3,Sci_Tech,Sci_Tech
2,2,Business,Business
2,2,Business,Business
1,1,Sports,Sports
2,2,Business,Business
1,1,Sports,Sports
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
0,0,World,World
2,2,Business,Business
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
0,0,World,World
2,2,Business,Business
0,0,World,World
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
1,1,Sports,Sports
2,2,Business,Business
1,1,Sports,Sports
2,2,Business,Business
1,1,Sports,Sports
2,3,Business,Sci_Tech
2,2,Business,Business
0,0,World,World
1,1,Sports,Sports
0,0,World,World
1,1,Sports,Sports
1,1,Sports,Sports
1,1,Sports,Sports
3,3,Sci_Tech,Sci_Tech
1,1,Sports,Sports
1,1,Sports,Sports
